gdb_id,Title,Release_Date,Thumb,Platform,URL
2495,Advance Wars,9/10/01,boxart/original/front/2495-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/2495-1.jpg
2497,Final Fantasy Tactics Advance,9/8/03,boxart/original/front/2497-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/2497-1.jpg
3769,Golden Sun,11/11/01,boxart/original/front/3769-2.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3769-2.jpg
2638,Metroid Fusion,11/17/02,boxart/original/front/2638-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/2638-1.png
2904,Classic NES Series: Excitebike,6/7/04,boxart/original/front/2904-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/2904-1.jpg
2909,Monopoly,11/26/04,boxart/original/front/2909-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/2909-1.jpg
2939,River City Ransom EX,5/25/04,boxart/original/front/2939-1.png,GBA,http://thegamesdb.net/banners/boxart/original/front/2939-1.png
3312,AirForce Delta Storm,11/16/02,boxart/original/front/3312-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3312-1.jpg
3112,Classic NES Series: Metroid,10/25/04,boxart/original/front/3112-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3112-1.jpg
3301,Ace Combat Advance,2/23/05,boxart/original/front/3301-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3301-1.jpg
3302,Activision Anthology,12/9/03,boxart/original/front/3302-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3302-1.jpg
3303,Robot Wars: Advanced Destruction,11/22/02,boxart/original/front/3303-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3303-1.jpg
3304,Advance Guardian Heroes,9/14/04,boxart/original/front/3304-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3304-1.jpg
3305,Advance Wars 2: Black Hole Rising,6/23/03,boxart/original/front/3305-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3305-1.jpg
3306,Agassi Tennis Generation,9/30/03,boxart/original/front/3306-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3306-1.jpg
3307,Aggressive Inline,8/27/02,boxart/original/front/3307-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3307-1.jpg
3313,Alienators: Evolution Continues,11/13/01,boxart/original/front/3313-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3313-1.jpg
3314,All Grown Up! Express Yourself,10/19/04,boxart/original/front/3314-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3314-1.jpg
3315,American Bass Challenge,12/5/01,boxart/original/front/3315-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3315-1.jpg
3316,American Idol,11/11/03,boxart/original/front/3316-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3316-1.jpg
3317,Another World,4/28/05,boxart/original/front/3317-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3317-1.jpg
3318,Antz Extreme Racing,11/20/02,boxart/original/front/3318-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3318-1.jpg
3319,Army Men Advance,6/11/01,boxart/original/front/3319-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3319-1.jpg
3320,Astro Boy: Omega Factor,8/17/04,boxart/original/front/3320-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3320-1.jpg
3321,Atari Anniversary Advance,3/25/02,boxart/original/front/3321-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3321-1.jpg
3322,BackTrack,10/4/01,boxart/original/front/3322-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3322-1.jpg
3323,Baldur's Gate: Dark Alliance,1/13/04,boxart/original/front/3323-1.jpg,GBA,http://thegamesdb.net/banners/boxart/original/front/3323-1.jpg
